Feature,Global_Mean_Importance,Inter_Node_StdDev
ts_hr_circadian_delta,0.08364212001884765,0.09999908951016127
act_totalCalories,0.06831524230000643,0.05721648472979984
ts_hr_recovery_slope,0.06634368864960995,0.05597724901966198
resp_avgTomorrowSleepRespirationValue,0.06339242849632425,0.0877272955556229
ts_hr_stress_coupling,0.04897289252454511,0.03329181617143969
ratio_hr_rest_to_avg,0.04485676955578577,0.03857660099448595
ratio_deep_sleep,0.03492705800797332,0.03252423707221891
ts_stress_load,0.03333617296522023,0.021430458179202153
ts_stress_peaks,0.033017561192661894,0.02133719051115424
ts_resp_instability,0.030591391180888963,0.016038978474240535
delta_stress,0.029332840580395845,0.015035822401468408
act_activeKilocalories,0.025509043616350386,0.015810131274766007
hr_lastSevenDaysAvgRestingHeartRate,0.02364602208249554,0.01949722387010786
sleep_awakeSleepSeconds,0.02341178000159687,0.018886891323544187
str_avgStressLevel,0.02301301993970325,0.015341600761942341
sleep_remSleepSeconds,0.02262218994648518,0.008957551871396945
ts_resp_onset_instability,0.02212894823207866,0.015252484476048035
act_intensity_ratio,0.02080013112111696,0.00559709229685063
sleep_avgSleepStress,0.02053431843918412,0.00943111882388508
sleep_lightSleepSeconds,0.020432267129150472,0.011207509491646239
hr_minHeartRate,0.01952989360579711,0.006366643311809658
log_sleep_sleepTimeSeconds,0.017913499183978283,0.013647953163441032
hr_maxHeartRate,0.01771358524096085,0.0042697999339621285
act_distance,0.01764821420406045,0.011086683942120297
str_maxStressLevel,0.015034124915849077,0.003786440531351794
log_act_distance,0.014851564082061437,0.008633637335666104
resp_highestRespirationValue,0.014504055265917424,0.013639466738581435
sleep_sleepTimeSeconds,0.014006969741157706,0.010320936303624382
sleep_unmeasurableSleepSeconds,0.013002684395190102,0.024532550251935844
sleep_highestRespirationValue,0.01186766787740962,0.00491443935066331
sleep_avgHeartRate,0.011507322554557671,0.004509795174852538
log_sleep_deepSleepSeconds,0.011273304200154821,0.0020598181340885538
sleep_lowestRespirationValue,0.011205102412651859,0.004808238936773569
resp_lowestRespirationValue,0.010839357121599027,0.008746077448142781
hr_restingHeartRate,0.01082457841063222,0.006218656719062105
resp_avgWakingRespirationValue,0.010736810965707935,0.0066918863730480145
sleep_deepSleepSeconds,0.010404004405780832,0.0031612668426417747
delta_hr_resting,0.009275218138334124,0.005017483239862086
sleep_napTimeSeconds,0.006520587320782983,0.0065231312967948575
resp_avgSleepRespirationValue,0.0061902184194152785,0.0032690254043195874
sleep_awakeCount,0.0045605499756819,0.001972960700965694
resp_ts_is_reliable,0.000818489293089444,0.001261024124620271
ts_system_coupling_reliable,0.0005808194497845566,0.0006203450936043488
stress_ts_is_reliable,0.00019972776699451303,0.00019972574573445522
ts_hr_is_reliable,0.00016576507202997542,0.00011584246861859536
